Title,Price,Image,description,links
One Of one IN Egypt   M 750Li ( G12 )-( xDrive ),"EGP 6,550,000",C:\Users\10\Documents\Python Scripts/allimag/image0.jpg,"-- One of one IN Germany  --
-- One Of one IN Egypt  --
- Special order Business package
 ( Executive lounge business )
- Special individual Customized 
•• ( 7-Series long individual customized ) ••

  M 750Li ( G12 )-( xDrive ) ( M Sports Package )

• • 2022 Used 300KM Only 
• Exterior color : BMW Individual///M-Mineral-Weiss Metallic
• Interior color : Excl. leather Indiv. full leather/Fiona-rot

- Performance Specs : 
• • Engine 4.4L V8, 530 hp 
• Torque 750 ( N. m )
• Beschleunigung ( 0-100 ) 4,1 s 
• Induction Turbocharged Fuel type Premium
•Transmission 8-speed automatic
• • Drivetrain - AWD ( XDrive ) 

- Editions And Packages :
M Sports Package (M-performance ) 
M Leather Steering Wheel
M Aerodynamics Package
M Rear Spoiler
Individual Option High-Gloss Shadow-Line
Innovation Package
19"" Light-Alloy Wheel Double ( M )
M SPORT BRAKE, HIGH-GLOSS
BMW INDIVIDUAL LIGHTS SHADOW LINE ( M ) 
- Comfort And Interior Equipment : 
Panorama Glass Roof, Sky Lounge
Roller Sun Visor, Rear Lateral
Sun Protection Glazing
Warning Triangle And First Aid Kit
Smoker Package
Climate-Controlled Seats, Front
Climate-Controlled Seats, Rear
Comfort Seat With Memory
Comfort Seat, Rear, Electr. Adjustable
Executive Lounge Seating
Executive Lounge Fondkonsole
Seat Heating, Front And Rear
Heat Comfort Package, Front
Autom. Climate Control With 4-Zone Ctrl
Ambient Air Paket
Massage Function In Rear Cabin
Massage Function F. Driver & Fr. Passenger
Ceramic Application, Control Elements
Ambient Interior Light

- Multimedia : 
Head-Up Display
CD Drive
DAB Tuner
Intelligent Emergency Call
Teleservices
Connected Drive Services
Connected Package Professional
BMW Drive Recorder
Bowers & Wilkins High End Sound System
Fond Entertainment Experience
Telephony With Wireless Charging
BMW Live Operating Area Professional
BMW Gesture Control
WLAN Hotspot
- Driver Assistance And Lightning : 
Kilometer Speedo
High-Beam Assistant
Driving Assistant Professional
BMW Laser light
Parking Assistance System Plus
Remote-Controlled Parking
High Gloss Shadow Line
Roofline Alcantara Anthracite

- Wheels And Drive : 
Extra Package, EU-Specific
yres With Run flat Properties
BMW Lt. -All. Whl. Starspk. 817M OG/GG/Runfl
Locking Wheel Bolt
Sport Automatic Gearbox
Tire Pressure Display
Integral Active Front Steering
Executive Drive Pro

- Environment And Safety : 
Alarm System
Integrated Universal Remote Control
Comfort Access
Soft-Close-Automatic Doors
Climate Comfort Laminated Glass
Climate Comfort Windscreen
BMW Display Key
",https://www.dubizzle.com.eg//en/ad/one-of-one-in-egypt-m-750li-g12-xdrive-ID201019891.html
Porsche Cayenne S 2024,"EGP 13,500,000",C:\Users\10\Documents\Python Scripts/allimag/image1.jpg,"Porsche Cayenne S
2024
Brand New
4.0L V8 TwinTurboCharged
Power: 470HP
Torque: 600NM
0. -100KM/H: 4.5 Sec
Transmission: 8-speed automatic transmission
Exterior: Crayon
Interior: Leather interior in two-tone combination, smooth-finish leather Black and Bordeaux Red
Wheels: 21-inch Cayenne Exclusive Design wheels in Neodyme
Sports seats front (8-way, electric) with integrated headrests
Three Memory Zone
Porsche Entry Keyless Entry
Sport Chrono Package with Porsche Design Subsecond Clock on the dashboard
Sports exhaust system including sports tailpipes in Silver 
Adaptive air suspension with levelling system and height adjustment incl. Porsche Active Suspension Management (PASM)
Night Vision Assist
Lane Change Assist
Surround View with Active Parking Support
Head-Up Display
Soft-close doors
Ambient lighting
Smoking package
Four-zone automatic climate control
Passenger Display
Roof spoiler painted in Black (high-gloss)
Panoramic Roof
Exclusive Design fuel filler cap
Exterior mirrors painted in Black (high-gloss)
Door release levers painted in Black (high-gloss)
Tinted HD-Matrix LED Headlights
BOSE® Surround Sound System
Android Auto and AppleCarPlay
‘PORSCHE’ logo LED door courtesy lights


Black edition car dealership 
العنوان : 2شارع لطيف منصور الماظة خلف مستشفي فلسطين
",https://www.dubizzle.com.eg//en/ad/porsche-cayenne-s-2024-ID200999259.html
Mercedes GLC 300 Coupe 2024,"EGP 2,580,000",C:\Users\10\Documents\Python Scripts/allimag/image2.jpg,"mercedes  GLC 300 Coupe 
2024
يوجد اقل مقدم واطول فتره سداد
بمقدم
2580000
للاستفسار برجاء الاتصال علي 01029400004
",https://www.dubizzle.com.eg//en/ad/mercedes-glc-300-coupe-2024-ID200052605.html
CLE 200 2024 night backage اعلي مواصفه,"EGP 5,350,000",C:\Users\10\Documents\Python Scripts/allimag/image3.jpg,"CLE 200 2024
نايت باكدج
فوانيس ديجتال
جنوط ٢٠
بصمه في الابواب
كاميرات ٣٦٠
بروجيكتور
سماعات بروميستر
كراسي كهرباء كامله
ميموري في الكراسي
تسخين في الكراسي
اضائه داخليه ٦٤لون

للتواصل 01143060153
",https://www.dubizzle.com.eg//en/ad/cle-200-2024-night-backage-%D8%A7%D8%B9%D9%84%D9%8A-%D9%85%D9%88%D8%A7%D8%B5%D9%81%D9%87-ID200874757.html
""" The only one IN Egypt ""
( M235i ) - 2024 
( Gran-Coupe ) 
( xDrive )","EGP 2,550,000",C:\Users\10\Documents\Python Scripts/allimag/image4.jpg,""" The only one IN Egypt ""
( M235i ) - 2024 
( Gran-Coupe ) 
( xDrive ) - M-performance 
2.0L - with “ Twin Turbo “ 
306 Hp - 450 Nm 
0-100 * 4.9 sec 
Alpine White/Metallic
interior - M-Performance Seats 
( Black /Magma Red ) 
- Used - 50 Km -
",https://www.dubizzle.com.eg//en/ad/the-only-one-in-egypt-m235i-2024-gran-coupe-xdrive-ID201012618.html
اوبل انسيجنيا ٢٠١٩,"EGP 1,800,000",C:\Users\10\Documents\Python Scripts/allimag/image5.jpg,"فابريكا بلكامل صيانات توكيل لا تحتاج مصاريف
",https://www.dubizzle.com.eg//en/ad/%D8%A7%D9%88%D8%A8%D9%84-%D8%A7%D9%86%D8%B3%D9%8A%D8%AC%D9%86%D9%8A%D8%A7-%D9%A2%D9%A0%D9%A1%D9%A9-ID201096810.html
Opel Grandland X 2018,"EGP 1,100,000",C:\Users\10\Documents\Python Scripts/allimag/image6.jpg,"أوبل جراند لاند ٢٠١٨ فابريكة
",https://www.dubizzle.com.eg//en/ad/opel-grandland-x-2018-ID201096679.html
fiat 500 2017,"EGP 755,000",C:\Users\10\Documents\Python Scripts/allimag/image7.jpg,"فيات ٥٠٠ 
موديل ٢٠١٧ 
مانويل 
١٢٠٠ سى سى
ماشية ٦٦ الف 
فابريكا بدون اى دهانات برة و جوة
عليها ورق حماية 3M 
شاشة اندرويد و شاشة الاصلى موجودة
صيانات توكيل بالفواتير 
و الجنوط الاصلى موجودة و سليمة
كواتيش حديث الانتاج
بطارية حديثة
معاينة أسكندرية
",https://www.dubizzle.com.eg//en/ad/fiat-500-2017-ID201096625.html
megan 4 2021 95000 km vision,"EGP 675,000",C:\Users\10\Documents\Python Scripts/allimag/image8.jpg,"ميجان ٢٠٢١ 
فابريكا عدا رفرف و كبوت تم تغيرهم في التوكيل فابريكا بالكامل ٩ صيانات في التوكيل بالفواتير و السعر نهائي فئه اولي
",https://www.dubizzle.com.eg//en/ad/megan-4-2021-95000-km-vision-ID201096410.html
Mercedes C180 Avant garde 2019,"EGP 2,650,000",C:\Users\10\Documents\Python Scripts/allimag/image9.jpg,"فيس ليفت C180
العربيه ماشيه 48000
فتحه سقف+ بانوراما
فبريكه بالكامل
صيانات توكيل
كاوتش جديد
Avant garde
مكان المعاينه حديقه الطفل مدينه نصر
",https://www.dubizzle.com.eg//en/ad/mercedes-c180-avant-garde-2019-ID201096347.html
